dialog����,�ļ���
11,132598
12,111965
13,95720
14,83109
15,71848
16,63131
17,55884
18,49495
19,44178
20,39571
21,35599
22,32760
23,29516
24,26760
25,24344
26,22249
27,20551
28,18999
29,17343
30,16053
31,15064
32,14009
33,13167
34,12034
35,11169
36,10322
37,9855
38,9279
39,8864
40,8132
41,7631
42,7246
43,6887
44,6668
45,6204
46,5926
47,5565
48,5292
49,5012
50,4786
51,4679
52,4203
53,4096
54,3993
55,3816
56,3547
57,3353
58,3376
59,3077
60,2966
61,2919
62,2759
63,2608
64,2501
65,2493
66,2304
67,2258
68,2159
69,2100
70,2010
71,1831
72,1828
73,1808
74,1777
75,1703
76,1552
77,1618
78,1466
79,1476
80,1475
81,1300
82,1269
83,1276
84,1230
85,1161
86,1172
87,1103
88,1023
89,1037
90,1020
91,932
92,949
93,889
94,832
95,889
96,879
97,805
98,788
99,777
100,774
101,733
102,685
103,714
104,706
105,633
106,616
107,645
108,630
109,588
110,552
111,587
112,547
113,546
114,520
115,468
116,497
117,475
118,486
119,492
120,459
121,416
122,442
123,409
124,415
125,423
126,390
127,389
128,393
129,363
130,397
131,343
132,350
133,316
134,321
135,314
136,335
137,291
138,296
139,282
140,267
141,307
142,264
143,271
144,275
145,244
146,234
147,261
148,272
149,250
150,222
151,245
152,228
153,241
154,258
155,222
156,185
157,202
158,178
159,196
160,191
161,194
162,165
163,213
164,186
165,171
166,190
167,165
168,179
169,158
170,157
171,154
172,142
173,152
174,149
175,176
176,158
177,140
178,138
179,132
180,132
181,148
182,118
183,136
184,171
185,126
186,130
187,137
188,149
189,124
190,126
191,123
192,94
193,118
194,120
195,123
196,95
197,110
198,120
199,102
200,108
201,116
202,96
203,96
204,120
205,85
206,100
207,97
208,87
209,74
210,88
211,78
212,85
213,87
214,67
215,68
216,81
217,67
218,69
219,84
220,73
221,71
222,80
223,58
224,70
225,73
226,72
227,77
228,54
229,76
230,65
231,74
232,64
233,55
234,59
235,44
236,61
237,66
238,57
239,60
240,52
241,50
242,55
243,67
244,49
245,59
246,56
247,50
248,45
249,55
250,47
251,49
252,43
253,43
254,54
255,45
256,49
257,59
258,42
259,49
260,49
261,46
262,40
263,49
264,48
265,54
266,42
267,37
268,43
269,44
270,43
271,30
272,36
273,46
274,44
275,38
276,45
277,46
278,37
279,40
280,29
281,38
282,40
283,41
284,38
285,40
286,27
287,33
288,35
289,33
290,29
291,30
292,31
293,25
294,28
295,32
296,30
297,28
298,45
299,35
300,30
301,27
302,22
303,49
304,23
305,28
306,33
307,27
308,25
309,25
310,30
311,34
312,35
313,26
314,24
315,31
316,20
317,16
318,18
319,25
320,29
321,31
322,16
323,23
324,29
325,26
326,23
327,23
328,18
329,19
330,26
331,24
332,18
333,23
334,25
335,27
336,23
337,19
338,20
339,23
340,22
341,20
342,20
343,18
344,18
345,20
346,22
347,18
348,25
349,14
350,20
351,11
352,15
353,15
354,17
355,17
356,15
357,16
358,11
359,23
360,27
361,20
362,11
363,17
364,12
365,11
366,16
367,12
368,14
369,17
370,18
371,19
372,17
373,16
374,15
375,13
376,10
377,18
378,8
379,14
380,14
381,12
382,15
383,16
384,15
385,13
386,19
387,13
388,18
389,16
390,19
391,8
392,12
393,19
394,12
395,17
396,12
397,12
398,14
399,16
400,17
401,12
402,11
403,10
404,10
405,14
406,8
407,8
408,9
409,13
410,10
411,10
412,15
413,18
414,8
415,7
416,7
417,10
418,10
419,8
420,14
421,11
422,12
423,7
424,11
425,13
426,17
427,7
